art,t,bpm,s
AKINO from bless4,MIIRO,195,263765
ChouCho,Sora to Kimi no Message,130,366070
HoneyWorks,Ima Suki ni Naru. ver.Capi,170,286383
Cartoon & Futuristik Feat. Mikk Mae,C U Again,175,740535
Ray,km/h (TV Size),185,828757
KANA-BOON,Nai Mono Nedari,175,758923
Hanasaka Yui(CV: M.A.O),Harumachi Clover,142,558217
DJ Fresh (feat. Ellie Goulding),Flashlight (Radio Edit),175,274035
NIGHTMARE,the WORLD  ~TV Size~,190,438535
LONG SHOT PARTY,distance (NARUTO Ver.),198.5,632130
Asterisk,Ren-chon no Drum 'n' Bass,175,331190
Griffin Lewis,Princess of the Night,120,109570
(K)NoW_NAME,Freesia,90,599556
"Kirisaki Chitoge (CV: Touyama Nao), Onodera Kosaki (CV: Hanazawa Kana)",Taisetsu no Tsukurikata (Asterisk Remix),175,925343
Akiyama Mio (CV: Hikasa Yoko),Heart Goes Boom!! [GAME Mix],180,844633
Koji Kondo,Slider,175.82,1961109
cillia,"Fairytale,",194,311463
ALiCE'S EMOTiON,LUNA,178,47124
Roselia,Six Trillion Years and Overnight Story,186,790041
Bliitzit,Team Magma & Aqua Leader Battle Theme (Unofficial),200.6,1002271
Brad Breeck,Gravity Falls Main Title Theme,165.8,293039
Mitsukiyo,Unwelcome School,180,2120192
Cartoon,Whatever I Do (feat. Kostja),174,372144
Tsuji Ayano,Kaze ni Naru,134.93,170836
Halozy,Genryuu Kaiko,173,251437
Pegboard Nerds,Emoji,163,391823
Dimrain47,Midnight Siege,150,46936
SID,Uso - 'Hagane no Renkinjutsushi FULLMETAL ALCHEMIST' ED Ver.-,180,641285
YAMAZARU,KAZE,162,339306
Hanatan,Kimi no Kiseki,190,54602
K/DA,"POP/STARS (ft. Madison Beer, (G)I-DLE, Jaira Burns)",170,874948
DECO*27,First Storm -Japanese Version-,190,778657
Demetori,Emotional Skyscraper ~ World's End,178,13223
ichigo from KISIDA KYODAN & THE AKEBOSI ROCKETS,STONE OCEAN (TV Size),180,1639480
Fujijo Seitokai Shikkou-bu,Best FriendS,163,748836
TrySail,High Free Spirits -TV.Ver-,186,440706
TheLaxOne,Skrillex Circulation,120,232505
Ray,lull ~Soshite Bokura wa~,133,172450
"Chito (CV: Minase Inori), Yuuri (CV: Kubo Yurika)",More One Night (Assertive Hardcore Bootleg) [short ver.],170,714239
Ogura Yui,Honey Come!!,184,374144
Yukinoshita Yukino (CV.Hayami Saori) & Yuigahama Yui (CV.Touyama Nao),Everyday World,154,310408
Knife Party,Give It Up,87,230989
Mikami Shiori,Shiawase Gift,185,161526
HO-KAGO TEA TIME,Tenshi ni Fureta yo! (Asterisk DnB Remix),175,373858
umu.,Ai no Sukima,204,966339
96neko,Uso no Hibana,188,625669
Poppin'Party,Cherry Bomb,190,971051
ONE OK ROCK,Cry out,168,790512
Ray,a-gain,133.4,437998
