m,b,x,pp99,adj,v,s,l,d,p,h,appr_h,ar,accuracy,cs,drain
0,827932,742.9,93.25,9246,apple's Insane,371128,110,4.21318,3724920,93960,402761,9,7.5,4,6
64,5444904,730.16,284.49,2938,Another,2478741,60,4.40075,63844,3135,493547,8.4,8,2,5
0,2478227,725.72,95.73,9236,Nostalgia,1189295,65,4.42501,666684,53518,443154,9.2,9,3.8,6
0,2444814,722.01,49.75,9541,Light Insane,1049899,64,4.16937,140256,17560,479109,8.8,8.3,3.4,5
72,3370179,719.01,110.33,6592,insane,1650892,40,3.13533,225972,40819,455717,8,7,4,5
0,1805627,706.52,374.07,1626,Jougan,863227,88,6.66413,600291,67480,429230,9.6,9.5,4,5
0,2518845,702.97,175.62,6011,Kuki's Extra,1209835,39,5.24931,621354,52841,443689,9.2,9.1,3.8,5.4
0,453042,698.51,149.88,7627,Insane,190222,87,5.00277,1208174,106223,390448,9,8,4,7
0,1620271,698.11,158.49,5745,Freedom,770668,90,4.99629,242676,72217,424472,9.2,8.6,4,6
0,1700275,697.63,222.93,4423,Sotarks' Misery,790512,89,5.40172,492003,70104,426570,9.2,9.1,3.8,5.2
0,535808,696.99,154.49,7627,Lunatic,230367,135,4.78683,389498,100382,396288,9,8,3.8,7
0,822651,694.91,244.91,3584,Extra,375648,159,5.65262,686303,93720,403001,9.4,8.5,4,7
0,1139717,694.5,65.91,7026,Bubblun's Insane,527431,39,3.8861,2082255,84693,411992,8.2,7.5,5,5.5
0,1587909,690.82,81.71,10324,Collab Insane,754219,90,4.18792,2947833,72272,424400,9,8,4,6
0,1018776,689.59,307.24,2183,Lami's Extra,437797,116,6.1296,238257,75274,421932,9.5,9,4,6
0,2245772,685.87,243.48,3537,Fiery's Extreme,1073074,31,6.01249,619173,58553,438118,9.2,9,4,5
64,4570744,677.64,384.09,1496,Insane,2166472,227,4.61291,67583,20331,476347,8.5,7.5,4,5
0,1405980,672.88,86.21,7868,Alphabet's Insane,664315,39,4.2565,1361286,74276,422445,9,8,4,5.5
0,3087276,671.2,81.53,10324,Expose Me,1507333,154,4.71425,29420,44375,452528,9,8,3.9,5
0,1610994,667.41,160.7,6322,Nevo's Expert,765778,38,5.14908,1043262,72840,423748,9,9,3.6,5
0,816600,664.56,256.8,3516,Kneesocks,372851,87,5.82893,1278591,94327,402386,9.4,9,4.2,6
0,1893461,663.53,163.27,6322,Fiery's Extreme,859783,28,5.46038,2267073,63610,433010,9.2,9.4,4.2,5
0,2231267,662.59,130.85,6221,Light's Expert,1061287,31,4.99431,848907,58766,437761,9,8.1,4,6
64,323875,662.24,253.18,3477,Delis' Insane,127712,144,4.09026,950031,107493,386692,8,7,4,6
0,681950,661.6,51.93,9541,Ar3's Hard,185250,188,3.74604,295046,95209,401583,8,6,4,5
0,2596018,660.52,195.95,6253,Kuki's Extra,1249048,57,5.36641,1347350,51981,444714,9.2,9,3.8,5.2
0,2164997,650.64,284.48,2938,Sotarks' Repetition,1035167,114,5.91747,485721,59110,437593,9.4,9.2,4,6.2
0,1056207,647.01,286.93,2933,Sunshine,494768,88,6.19193,375209,87057,409672,9.5,9,4,6
0,713867,646.51,261.25,3972,Fast's Expert,320118,77,5.93515,555428,93752,402956,9.4,9,4,6.3
0,2349469,646.25,128.07,8375,Insane,1124391,100,4.63684,806733,55846,440824,9,8,3.8,5
0,1158325,645.18,384.79,1443,Extreme,546878,188,6.55701,212121,74987,421697,9.5,9,4,6
0,2964221,642.18,296.03,2715,Fatfan & browiec's Determination,1440767,104,6.01155,306911,46661,450038,9.4,9.2,4.2,5.8
64,1018869,637.45,252.03,3477,Review,474376,79,4.16838,1444365,85731,410957,8.5,8,4,6
0,2964222,636.55,177.61,6011,Reform's Extra,1440767,91,5.09504,930679,46661,450038,9.2,8.8,3.5,5.4
0,675330,636.41,126.77,8375,Insane,301138,108,4.61173,1149179,96336,400507,9,8,4.2,7
0,2395929,636.31,74.22,10562,Insane?,1147361,88,4.00001,2977677,55408,441118,9,7.4,4,5.5
0,1762727,633.83,55.37,9532,Hyper,842412,30,3.98683,4279383,69720,427022,8.2,8,3.7,4.4
