art,t,bpm,s
ONE OK ROCK,Bombs away (Cut Ver.),160,1687180
senya,Koakuma Apple (EUROBEAT Remix),157,44300
SCANDAL,Shunkan Sentimental (TV Size),168,12756
Brad Breeck,Acoustic Indie Folk Vox 2,131,1804626
senya,Songs Compilation,138,119891
Oratorio The World God Only Knows,A Whole New World God Only Knows (TV Size),153,29100
FLOW,COLORS,136,730452
xi,Titania,212,1278046
Dormir,Sayonara Trip,133,1085450
yanaginagi,over and over (TV Size),183,698454
BABYMETAL,Road of Resistance,205,1183643
ParagonX9,Chaoz Japan,165,460789
Okabe Keiichi,Kaine / Salvation,105,1588824
Shintani Ryo,Neko Atsume Winter Theme,100,1073177
"Fear, and Loathing in Las Vegas",Just Awake (TV Size),191,95638
"Kirisaki Chitoge (CV: Touyama Nao), Onodera Kosaki (CV: Hanazawa Kana)",Taisetsu no Tsukurikata (Asterisk Remix) (Cut Ver.),175,1131286
Jashin*Girls,Anoko ni Drop Kick (TV Size),230,1466437
100 gecs,hand crushed by a mallet,169,1253992
toby fox,Tem Shop,95.5,397990
Ke$ha,Backstabber,160,1718408
Nakanoke no Itsutsugo,Gotoubun no Kimochi (TV Size),175,921468
DJVI,Can't Let Go,170,335813
Jason Paige,Pokemon Theme (TV Size),145,1558943
PinkPantheress,Break It Off,172.5,1446113
Mili,Utopiosphere -Platonism-,176,522132
Hanasaka Yui(CV: M.A.O),Harumachi Clover,142,652412
Helblinde,Above the Clouds,180,501962
Mrs. GREEN APPLE,Ao to Natsu,185,813452
Toby Fox,alarm_titlescreen,165,1790957
Kanemoto Hisako & Iwami Manaka & Ookubo Rumi,GAMERS!,186,645591
Fujiwara Chika (CV: Kohara Konomi),Chikatto Chika Chika (TV Size),178,921889
ACE (TOMOri Kudo / CHiCO),Beneath the Mask,118,978534
Tia,Heart Realize (TV Size),178,143717
SMiLE.dk,GOLDEN SKY,135,749378
Minazuki Airi with Atsushi,"Daisuki, Evolution",190,1791427
Toby Fox,Beginning,138,1055790
YOASOBI,Kaibutsu (TV Size),170,1331956
ONE OK ROCK,Clock Strikes,192,249624
YUI,again,140,623911
Ayane,FaV -F*** and Vanguard-,190,452690
nanobii,Rainbow Road,170,1234892
LiSA,Gurenge feat. Un3h [ dj-Jo Remix ] TV Size,135,1400050
Rostik,Liquid (Paul Rosenthal Remix),133,123593
FLOWxGRANRODEO,7 -seven- -TV SIZE -,170,282345
DEAN FUJIOKA,History Maker,67,522277
yuikonnu,Ghost Rule,210,440650
Yu-Peng Chen @HOYO-MiX,Rockin' With Fire,200,1371400
DIALOGUE+,Deneb to Spica (TV Size),180,1806253
Hatsune Miku,Hatsune Miku no Tomadoi,228,15320
Nico Nico Douga,VS Misaka Mikototo,150,12663
KOCHO,"Hanyamaru Manten, Zenitendou. (TV Size)",139.5,1999473
Stonebank,Stronger (feat. EMEL),170,273711
Yiruma & Skullee,River Flows In You (A Love Note),140,68893
Reol,Streaming Heart,210,339335
Maximum the Hormone,"What's up, people?! (TV Size)",161.05,50763
Goose house,Hikaru nara -TV size-,160,223180
Kitsune^2,Rainbow Tylenol,135,20789
DZIDZIO,Yalta,128,485903
Ashrount,Bleary Vagary,180,1958376
DAOKO x Kenshi Yonezu,Uchiage Hanabi,96,655269
Kuroneko Dungeon,Lilieze to Enryuu Laevateinn,200,415827
CustomiZ,COOLEST,188,815097
Rameses B,Mountains (Ft. Veela),175,303129
PUP,DVP,296,1159828
