art,t,bpm,s
Silent Siren,Cherry Bomb,190,435284
Mili,world.execute(me);,130,1090079
Big Bang,Haru Haru,126,7354
Sasaki Eri,Ring of Fortune (TV Size),158,1338117
Uesaka Sumire,EASY LOVE (TV Size),188,1372562
HOYO-MiX,Devouring Snake,160,1722821
Chihara Minori,Kyoukai no Kanata (TV Size),184,1660535
R3 Music Box,Imagination,103,598797
fiend,2DF2,155,2120798
Taylor Swift,Red,125,113946
LiSA,ADAMAS (TV Size),191,859718
Panda Eyes,ILY,110,653534
Hanazawa Kana,Meiwaku Spectacle (TV Size),157,155039
IOSYS,Miracle Hinacle (Cut Ver.),160,1502676
Nico Nico Douga,Koromo of the Sprite Tribe,119.55,22252
Ho-Ong-I,Hide and Seek,120,72943
Tomatsu Haruka,Q&A Recital! (TV Size),182,62021
yanaginagi,Haru Modoki,174,763695
Gram vs. Yooh,Apocalypse,234,1816401
Chata,Dango Daikazoku -TV animation Ver.-,100,214978
Satoshi (CV:Matsumoto Rica),XY&Z,254,442618
Coalamode.,Nanairo Symphony -TV Size-,155,488149
TK from Ling tosite sigure,unravel (TV Size),135,1140153
Shawn Mendes,Stitches,150,354163
HyuN feat. YURI,Disorder,193,1636276
flumpool,Chiisana Hibi (TV Size),123,1139396
NIGHTMARE,the WORLD  ~TV Size~,190,438535
Drop,Granat,180.96,501992
TERRA,EDEN,200,810279
CIDER GIRL,Cinderella (TV Size),130,1597421
sakuzyo,Scattered Rose,180,319300
Turbo,PADORU / PADORU,190,1073074
Mahito Yokota,Waltz of the Boos,124,160313
Sex Whales & Fraxo,Dead To Me (Instrumental),148,764602
Brad Breeck,Fury Heart,109,1023839
BoA,MASAYUME CHASING (Speed Up Ver.),150.9,214667
Unknown Artist,Miniministop Hitoyasumi no Uta[Mokuyoubi]Gakusei no Uta,125,705423
CustomiZ,COOLEST (TV Size),188,1258175
Eisyo-kobu,Oriental Blossom,180,727539
xi,Ascension to Heaven,200,34348
9mm Parabellum Bullet,Inferno,195,482090
Station Earth,Cold Green Eyes ft. Roos Denayer,174,371128
Itou Kanako,Hacking to the Gate (TV Size),161,840945
Kyary Pamyu Pamyu,PONPONPON (Short Ver.),128,42073
A-One,Wanna Be My Dream (Cut Ver.),165,1474048
ARCIEN,Future Son,150,357466
daniwellP,Nyanyanyanyanyanyanya!,142,31419
Nightmare,The World,190,4851
ZUTOMAYO,Time Left (TV Size),141,1871679
Junichi Masuda,Okido Laboratory,136.5,198655
xi,Blue Zenith,200,292301
ALI PROJECT,Kyoumu Densen (TV Size),145.1,43839
RYO,Shuffle Heaven,190,85802
Tsunamaru,Daidai Genome,135,221954
TK from Ling tosite sigure,unravel (TV edit),135,201141
E0ri4,Absolute Gate,205,1897932
Linked Horizon,Shinzou o Sasageyo! [TV Size],160,593620
Iwana,Dr. Nyanpasu-,164.17,222623
Katakiri Rekka & Suzuyu,Girl meets Love (Short Ver.),185,1344930
Daniel Ingram,My Little Pony Theme Song (TV Size),111,1964936
KEYTALK,STARRING STAR,146,378596
Marmalade butcher,Noxious,190,2015739
ASIAN KUNG-FU GENERATION,Re:Re:,155,426693
Ryu*,China Express,171,731247
kamome sano Electric Orchestra,FIN4LE ~Shuushisen no Kanata e~,256,1518662
Kishida Kyoudan,HIGHSCHOOL OF THE DEAD (TV Size),190,18021
livetune feat. Hatsune Miku,Tell Your World,150,606859
fripSide,dual existence (TV Size),171,1447905
EGOIST,The Everlasting Guilty Crown (TV Size),172,43479
Mercy X,Caught Fire (feat. Ashley Lawless) (Cut Ver.),150,921053
toby fox,MEGALOVANIA (Camellia Remix),242,1038635
tokiwa,Memoirs feat. Aitsuki Nakuru,175,1664624
fiend,Morrissey,170,1432225
THE ORAL CIGARETTES,Monster Effect,186,845746
MYUKKE.,The 89's Momentum,128,1340492
Yasuda Rei,Passcode 4854 -TV edit-,140,251391
Ikimonogakari,Netsujou no Spectrum (TV Size),160,1363052
Yuigahama Yui (CV: Touyama Nao),Hello Alone -Yui Ballade- (TV Size),59,844876
blue drops,Heart no Kakuritsu (TV Size),157,60524
Hasegawa Daisuke,Uragirimono no Requiem (TV Size),168,940726
LISA,"My Soul, Your Beats! ~Rock Version~ (TV Size)",145,16722
Annabel,syncretism animesize ver.,155,514144
yuikonnu & ayaponzu*,Super Nuko World,190,153776
Nightcore,Ass Up!,168.06,11947
O2i3,TSLove,185,620910
HAG,Colorful,192,931452
Paul K. Joyce feat. Neil Morrissey,Can We Fix It? (TV Size),134,1577079
ClariS,CLICK (TV Size),135,141964
SPYAIR,Samurai Heart (Some Like It Hot!!) (TV Size),113,28739
TheFatRat ft. Laura Brehm,MAYDAY (Nightcore Mix),172.5,754219
HO-KAGO TEA TIME,Utauyo!! MIRACLE (TV Size),161.5,17885
Apache 207,Sie ruft,130,1234123
Ling tosite sigure,abnormalize (TV Size),175,867930
Cres,End Time,180,36382
Big Time Rush,Big Time Rush (TV Size),121,1228217
Amatsuki,Outer Science,195,134767
ZUN,Lunar Clock ~ Luna Dial,146,19226
StylipS,STUDYxSTUDY (TV Size),170,43013
"Hikasa Youko, Uchida Maaya, Taketatsu Ayana, Akesaka Satomi",Gokujo. no Jouken (TV Size),180.2,953015
Warak,REANIMATE,174,209103
ONE OK ROCK,The Beginning,182,68891
DJ Genericname,Dango Dango Drum and Bass,178,64636
TK from Ling tosite sigure,unravel (TV Size),135,856627
Halozy,864 melody,128,347959
Super Junior-M,Super Girl (Chinese Version),125,16084
Cilvery,Kamisama Nejimaki,284,374900
Sonic Team - Pastiche,Sonic Boom - Opening,187,2215
kors k,Insane Techniques,146,138188
Goose house,Hikaru nara -TV size-,160,223871
ClariS,reunion (TV Size),135,84458
Vicetone,Nevada (feat. Cozi Zuehlsdorff),124,476587
MYTH & ROID,HYDRA,166,720129
TrySail,Honto da yo (Cut Ver.),175,1164152
Feint & Boyinaband,Time Bomb (feat. Veela),175,912369
ZUN,Hartmann's Youkai Girl,165,25062
Nico Nico Douga,U.N. Owen Was Her?,200,1785
Knife Party,Fire Hive,140,102597
Tokyo Karan Koron,Spice,130,317592
TSUNKU,Shugyou no Thema,189,940261
Linked Horizon,Jiyuu no Tsubasa (TV Size),157.5,112197
Mrs. GREEN APPLE,Inferno (TV Size),185,1001316
the peggies,Kimi no Sei (TV Size),174,865746
Komine Lisa,Resuscitated Hope -TVsize-,130,591791
OLDCODEX,Catal Rhythm (TV Size),176,54579
ZAQ,Dance In The Game (TV Size),135,1867756
SimpleInfo Design,Presidential Palace Adventure Theme Song,245,1763195
MindaRyn,Like Flames (TV Size),175,1515599
Tsunomaki Watame,Watame no Komoriuta,110,1369914
Stigmata,September,140,360357
Machico,fantastic dreamer(TV-size),185,483175
League of Legends,Hanami ON THE RIFT (PV ver.),172,695308
senya,Glass-like Psychology,140,47065
Yasuo-P,Electric Angel,150,52304
Halozy,Genryuu Kaiko,173,253969
Boom,How Do You Do (Nightcore Mix),166.81,18729
Yasuda Rei,Passcode 4854 -TV edit-,140,481845
Hanasaka Yui(CV: M.A.O),Harumachi Clover,142,594207
Ni-Sokkususu,Blade Dance,187,745312
Kirsten Price,We Will Be Heroes (TV Size),145,1035466
Subplaid,If you went out with friends in a way,185,40327
Jan Wayne Vs. Raindropz,Numb (Nightcore Ver.),177.5,14983
Rameses B,We Love (Cut Ver.),174,1688357
Hyuji feat. LIQU@.,Mermaid girl (Tropical Remix),150,1244353
RSP,Sakura ~Anata ni Deaete Yokatta~,160,18428
Little Glee Monster,"Dakara, Hitori ja Nai -TV Size-",180,631624
Hanasaka Yui(CV: M.A.O),Harumachi Clover,142,591987
igiulamam,The Shopkeeper: Under the Sea,179.75,5149
antiPLUR,One Life Left to Live,175,957842
MomoKuro-tei Ichimon,Nippon Egao Hyakkei (TV Size),160,74301
Will Stetson,Harumachi Clover (Swing Arrangement),170,1068277
xi,Happy End of the World,190,755294
Sasaki Sayaka,Zzz (Euro Star Mix),154,310591
Cres.,End Time,180,1952903
dark cat,BUBBLE TEA (feat. juu & cinders),160,769917
IOSYS,Cirno no Perfect Sansuu Kyoushitsu,175,392215
Yoshito Hirano,Opening,143.12,290520
BRADIO,Flyers,139,446968
Lolipusher,"why as soon as we become so close, we have to say goodbye?",200,1135515
REDALiCE,Watame Koujou Kusozako Kaisen Remix,150,1647383
nanobii,HYPERDRIVE,174,639991
dark cat,BANANA STREET,154,560047
YOSHIKI feat. HYDE,Red Swan (TV Size),132,1567062
Hatsune Miku,Senbonzakura (Short Ver.),154,36858
Shawn Wasabi,Marble Soda,168,387784
Meguro Shoji,Period,165,1669802
TK from Ling tosite sigure,unravel (TV edit),135,219107
supercell,Kimi no Shiranai Monogatari -TV Edit-,165,342896
Feint,Tower Of Heaven (You Are Slaves),175,128931
Jin,Outer Science,195,122376
Tomohito Nishiura,Shop,120,693535
t+pazolite,cheatreal,200,88180
THE ORAL CIGARETTES,GET BACK,192,853600
ginkiha,Oriens,185,65855
Megpoid GUMI,Cosmos,270,37054
Odd Nordstoga,Jul i Svingen,140.4,381074
Kelly Bailey,Triage at Dawn,108,907720
Suzuki Konomi,Redo,190,456524
Rise Against,The Good Left Undone,197,351431
Hanazawa Kana,Meiwaku Spectacle (TV Size),157,497868
xi,Time files,200,1704324
Saiya,Remote Control,165,53857
ONE OK ROCK,"Rock, Scissors, Paper",193,82282
UNISON SQUARE GARDEN,Sugar Song to Bitter Step,132,302787
ChouCho,Haiiro no Saga (TV Size),184,1318691
System of a Down,Vicinity of Obscenity,230,13768
Hyadain,Hyadain no Kakakata Kataomoi-C (TV Size),180,28565
Daisuke Achiwa,BASARA,130,13019
HyuN,Infinity Heaven,160,891345
Chiyoko,Baby Fantastic! (Short Ver.),180,1671811
S-C-U,NANAHOSHI,166,1557240
IOSYS,Marisa wa Taihen na Kanbu de Tomatte Ikimashita,199.96,10143
Shintani Ryo,Neko Atsume no Thema,125,1062960
SCREEN mode,Reason Living (TV Size),183,761801
Kayano Ai,Oracion(TV-Size),166,172013
Lena Park,Inori~You Raise Me Up (TV Size),124,172662
KOTOKO,unfinished (TV Size),146,49594
loos feat. Meramipop,Starlight Disco,128,183375
Little Glee Monster,OVER (TV Size),180,1211978
Jun.A,The Refrain of the Lovely Great War,180,24325
Tanya Degurechaff (CV: Yuki Aoi),Los! Los! Los! (TV Size),240,811822
yanaginagi,Mitsuba no Musubime (TV Size),123,519146
Konuko,Toumei Elegy,220,219380
BLACKPINK,AS IF IT'S YOUR LAST,125,630325
TRONIC,Supervelocidad,195,730805
Mastermind (xi+nora2r),Dreadnought,192,1393933
Drop,Granat,180.96,1717176
Shogo Sakai,Forest of Flames,162,105081
Petit Rabbit's,Daydream cafe (TV Size),150,167836
RADWIMPS,Nandemo Nai ya,84,515939
KISIDA KYODAN & THE AKEBOSI ROCKETS,GATE II ~Sekai o Koete~ (TV-size),206,415910
Silentroom vs. Frums,Aegleseeker,234,1460413
Spring Head,Fallen Angel,99.75,13922
LukHash,WHEN AN ANGEL DIES,151,1008600
HyuN feat. JeeE,Fallen Angel,160,1141049
Yousei Teikoku,Mischievous of Alice,185,35546
Porter Robinson & Madeon,Shelter,100,536749
Alexandra Stan feat. Connect-R,Vanilla Chocolat (Sped Up Ver.),153.6,975620
Tenacious D,Classico,170,893630
Yasuna to Sonya,Futari no Kimochi no Honto no Himitsu (TV Size),132,43698
Nightcore,You Got Me Dancing,174.36,15917
THE ORAL CIGARETTES,ReI,186,785858
sak + wellow,#curtaincall,227,1503349
SpellingPhailer,Science Blaster (Cut Ver.),180,2220108
LeaF,Calamity Fortune,200,96103
Neo Cortex,I Want You (Nightcore Mix),168,28064
Ito Kashitaro,Setsuna Plus,155,648930
Trial & Error,DREAMING COLOR (Short Ver.),176,946773
Nakanoke no Itsutsugo,Gotoubun no Kimochi,175,953441
Hatsune Miku & Megpoid Gumi,MATRYOSHKA,205,19789
Imai Asami,Asayake no Starmine (Anime Ver.),130,319424
THREE LIGHTS DOWN KINGS,Glorious Days(TV size),192,458584
Soleily,Renatus,182,241526
Sharlo,Songs Compilation,137,430981
Altria Pendragon (Santa Alter) (CV : Ayako Kawasumi),Jingle Bells,111,689134
fripSide,LEVEL5 -judgelight- (TV Size),139.5,1532668
Girls' Generation,Gee,100,30527
Petit Rabbit's,Daydream cafe,150,361591
SPYAIR,Imagination,204,186141
Weebl,Amazing Horse,150,54631
Caramell,Caramelldansen (Speedycake Remix),164.74,18568
Tanizawa Tomofumi,Sawakaze (TV Size),142,818349
SCANDAL,HARUKAZE (TV Size),165,39249
LiSA,Shirushi -TV ver.-,146,230901
LiSA,ROCK-mode,180,1124391
Ayase Rie,Yuima-ru*World TVver.,180,459149
ClariS,Connect (TV Size),175,24565
Colors*Slash,Colors Power ni Omakasero! (Sober Bear Remix),140,1213101
Griffin Lewis,Princess of the Night,120,109570
WEAVER,Kuchizuke Diamond,164,368985
angela,Otome no Route wa Hitotsu Janai! (TV Size),192,1599758
P4koo,Melody Line,178,1340600
Gabriela Vega y Maggie Vera,La Eterna Luz (TV Size),135,130826
LeaF,Wizdomiot,200,1128274
Faylan,Dead END (TV Size),183,43584
3R2,Adventure Starts Here,143,1285524
S-C-U,heron,182,576786
Choucho,Kawaru Mirai (TV Size),167,32824
STYLE FIVE,SPLASH FREE (TV Size),128,104169
Age Pee,When The Rain Begins To Fall (Nightcore Mix),161,36147
Alakrity,Mighty Morphin Power Rangers,182.1,1914137
SawanoHiroyuki[nZk]:mizuki,&Z (TV size-English ver.-),158,259907
Vaundy,Hadaka no Yuusha (TV Size),163,1671632
Hyadain,Hyadain no Joujou Yuujou (TV Size),200,32775
Kido Ibuki & Yamazaki Erii,pupa (TV Size),240,1162860
Tia,Heart Realize (TV Size),178,1676472
samfree,Chicken's Theme,166,599699
nonoc,Memento (TV Size),125,1417543
Aoi Eir,GENESIS (TV size),130,289391
Silver Forest,Eternally Unreachable Distance,168,6509
charon,Seventeen RPG,266,304888
t+pazolite,"Electric ""Sister"" Bitch",185,441459
Helblinde,Putin's Boner,200,737714
katagiri,Urushi,207,1482723
Erosion,Shinkai Shoujo-piano ver.-,99.8,634939
ONE OK ROCK,Mikansei Koukyoukyoku,195,348604
ARM (IOSYS),Koisuru*Uchuu Sensou!! Abababa Mix,200,145032
After the Rain,1 - 2 - 3 (TV Size),182,1067920
Shiggy Jr.,oyasumi,200,665057
HyuN & Ritoru,Apocalypse in Love,180,891338
Simon Curtis,Super Psycho Love,110,44132
binaria,Kamiiro Awase,150,506771
Nico Nico Douga,Fight Against Squid Girl,268,25569
MAX COVERI,RUNNING IN THE 90'S,158.5,739262
u's,Korekara no Someday,240,288268
VINXIS,Greetings,200,815162
Yanagida Ethnica,For You the Bellz Toll,195,1331140
Lime,8bit Voyager,182,1340010
Puffy AmiYumi,TEEN TITANS THEME (TV Size),165,1011341
Shika-bu,Shikairo Days (TV Size),183,2209064
fripSide,final phase (TV Size),149,1377292
toby fox,Finale,190,667713
Yamamoto Mineko,"Falling, The Star Light",178,769685
Avicii,Levels (Nightcore Mix),140.81,55644
Kayano Ai,Oracion(TV-Size),166,170658
Last Note.,Caramel Heaven,194,90095
Kumakuma,Hallucination,164,476944
ClariS,STEP (TV Size),146,983846
Nico Nico Douga,Accelerator's Bittan Bittan,133.4,23075
Skillet,Comatose,85,1345767
Touyama Nao,Heart Pattern (TV Size),135,153352
Official HIGE DANdism,Yesterday (Movie ver.),130,1282124
in love with a ghost,complex feelings about my own existence feat. jungkook,100,1772651
Melanie Flash,One in a Million (Nightcore Mix),174,37235
Lindsey Stirling,Song of the Caged Bird,86.5,59795
Kana Nishino,Darling,160,431087
Blend A,Bon Appetit S (TV Size ver),152,697961
Fujiwara Chika (CV: Kohara Konomi),Chikatto Chika Chika (TV Size),178,926731
yanaginagi,Zoetrope (TV Size),184,73155
ClariS,with you,160,138238
Yu-Peng Chen @HOYO-MiX,Contemplation in Snow,135,1461901
THE ORAL CIGARETTES,Kyouran Hey Kids!!,284,371419
Suzuki Konomi,Redo,190,437055
C-Show,On the FM,200,609679
S3RL,Scary Movie,175,858442
Getty vs. DJ DiA,Grayed Out -Antifront-,190,1541235
lil soda boi,balenciaga socks,83,932532
Ishihara Kaori,Plastic Smile (TV Size),167,1472290
HyuN,Illusion of Inflict,170,972887
Kajiura Yuki,Noi!,87,352634
"Fear, and Loathing in Las Vegas",Let Me Hear,184,231640
Lindsey Stirling,Crystallize,140,46657
Vicetone feat. Collin McLoughlin,Heartbeat,128,295388
Vaundy,CHAINSAW BLOOD (TV Size),147,1869045
Selphius,wallah bruder (Gasi Remix),180,1292500
TeddyLoid,ME!ME!ME! feat. daoko_pt.1,125,298016
BlackYooh vs. siromaru,BLACK or WHITE?,185,248876
Rinjinbu,Be My Friend (TV Size),145,56401
Shinsei Kamattechan,Boku no Sensou (TV Size),144,1317896
Avenged Sevenfold,A Little Piece of Heaven,145,58309
Street,Sakura Fubuki,175,1143608
R3 Music Box,No title,172,520938
Kageyama Shota,Mishiro Town,107,1188808
Numakura Manami,Sakebe (TV Size),195,1592433
Nishikino Maki(CV.Pile),Aishiteru Banzai!(Prepro Piano Mix),90,355543
Simon Felix,Trailer!,117,726274
Srav3R vs. Getty,DUAL BREAKER XX,200,1688341
Toshimasa,Soshite Kyou mo Koumakan no Tobira wa Hiraku,120,51558
Wakeshima Kanon,Tsukinami (Cut Ver.),180,2139338
Tomato n' Pine,Nanairo*Namida (TV size),127,34196
Bon Jovi,It's My Life,120,41556
Aqours,MY Mai*TONIGHT (TV Size),179,1387563
FictionJunction feat. LiSA,from the edge (TV Size),162,1032193
Sanshuu Chuugaku Yuusha-bu,Ashita no Hanatachi (TV Size),178,1593043
Mikakuning!,Tomadoi*Recipe,170,200176
Ray,Rakuen PROJECT (TV Size),135,63351
K/DA,"POP/STARS (ft. Madison Beer, (G)I-DLE, Jaira Burns)",170,874948
Ray,a-gain,133.4,437998
Five Hammer,fffff,138,841569
Miku Sawai,Colorful. (AnimeVer.),153,586296
SDP feat. Prinz Pi,Echte Freunde (Cut Ver.),155,1264785
Kobaryo,Cross The Finish Line [feat. Nanahira],260,2012659
Shiena Nishizawa,The Asterisk War,143,440397
u's,Snow halation,173,66385
MAXIMUM THE HORMONE,ChuChu Lovely MuniMuni MuraMura PrinPrin Boron Nururu ReroRero (Chiptune Cover),260,1114770
SID,Uso - 'Hagane no Renkinjutsushi FULLMETAL ALCHEMIST' ED Ver.-,180,641285
S3RL feat Sara,Techno Kitty,175,345450
Wotamin,Gigantic O.T.N,190,80214
Cascada,Dangerous (Nightcore Mix),181.25,24340
ONE OK ROCK,Ketsuraku Automation (Cut Ver.),194,1708553
Masatoshi Ono,departure! (TV Size),160,116306
amazarashi,Sora ni Utaeba,204,813969
TeamGrimoire+Amaneko,croiX,195,88692
Kana Nishino,Darling,160,739368
Kayano Ai / Tomatsu Haruka / Hayami Saori,secret base ~Kimi ga Kureta Mono~ (10 years after Ver.),67,547701
Nightcore,Festa!,160.98,14236
Kuroneko Dungeon,Ryoushi no Umi no Lindwurm,280,857537
Boom,How Do You Do (Nightcore Remix),175.17,13393
OxT,UNION (TV Size),178,1480371
YOASOBI,Yasashii Suisei (TV Size),90,1408427
Mrs. GREEN APPLE,Inferno (TV Size),185,1000225
Afilia Saga,Neptune*Sagashite,145,332082
RADWIMPS,Yume Tourou,178,515069
James Landino,Arsene's Bazaar,155,1972145
yanaginagi,Haru Modoki,174,299804
Alfakyun. x Camellia,calling,185,649285
Nico Nico Douga,Hakase's Bittan Bittan,133.7,36920
Hanazawa Kana,Recover Decoration (TV Size),112,156180
AKINO from bless4 & CHiCO with HoneyWorks,MIIRO vs. Ai no Scenario,195,325158
Moso Calibration,Sakurairo Diary,153,610987
Taiko no Tatsujin,Mekadesu.,320,10568
Nico Nico Douga,Owens,185,20406
Daniele Meo,Adesso Balla (Butterfly Remix),154.4,56589
MIMI feat. Hatsune Miku,Mizuoto to Curtain,186,968171
Junichi Masuda,Battle! Mew,181,118311
Horie Yui,Asymmetry,173,414949
Hanazawa Kana,sweets parade (TV Size),206,46605
ULTRA TOWER,Kibou no Uta(TV anime Ver.),177,297204
Linked Horizon,Guren no Yumiya,180.68,105656
Nightcore,Hey Now,185,18475
Remo Prototype[CV: Hanamori Yumiri],Sendan Life,227,411894
Smokin Igor,I'M NOT FUCKIN' FAT (8 bit Remix),146,9632
Camellia,flower of wilderness,220,1809311
"Pecorine (CV: M.A.O), Kokkoro (CV: Itou Miku), Karyl (CV: Tachibana Rika)",Connecting Happy!! (TV Size),182,1165281
Kana Nishino,Style (TV Size),113,10885
Hanae,Kamisama Hajimemashita (TV Size),146,80659
sphere,HIGH POWERED (TV Size),187,1411668
ClariS,STEP (TV Size),146,165379
UNDEAD CORPORATION,Everything will freeze,240,1293905
Lime,BEYOND,276,1938940
HoneyWorks,Tokyo Summer Session feat. CHiCO,160,426252
RADWIMPS,Zen Zen Zense (movie ver.) (Cut Ver.),190,1461436
Team Nekokan,Can't Defeat Airman,200,24084
senya,"Utakata, Ai no Mahoroba",155,317372
MY FIRST STORY,Itsuwari NEUROSE,188,365963
Goose house,Hikaru nara,160,440169
EGOIST,Namae no Nai Kaibutsu (TV Size),180,62263
Miyazono Kaori(CV.Taneda Risa),My Truth~Rondo Capriccioso,146,274337
Jason Hayes,Song of Elune (Cut Ver.),150,1605666
ClariS,Hirahira Hirara,111,643903
Megurine Luka,World Reflection,135,18050
Yamamoto Mineko,Rinne,179,1385482
onumi,REGRET PART ONE,200,936545
Marie,Clover Day's,190,847800
KANA-BOON,Silhouette,183,399358
ecosystem,Dilemma,182,418313
Hanataba,Night of Knights,180,5445
Kagamine Rin and Len,Trick and Treat,135,11418
Alex Mercer Mashups,SpiceTrousle,150,383266
Ceui,Hoshi Ori Yume Mirai,174,885643
Paul K. Joyce feat. Neil Morrissey,Can We Fix It? (TV Size),134,1061694
Nanaki feat.GUMI,Mousou Kajitsu,200,524966
Roses Epicurean,Yoru no Kodomo tachi,115,325112
toby fox,Last Goodbye,180,744772
Shikata Akiko,Katayoku no Tori (TV Size),110,8814
AKINO from bless4,MIIRO,195,263765
Akiyama Uni,Touhou Hisouten,120,965677
"Takamori Natsumi, Sendai Eri, Asakawa Yuu, Tanezaki Atsumi",Ne! Ko! (TV Size),182,1713866
musicos Cinicos,el Siiii de CR7 pero es navideno,140,1912920
Nekomata Master feat. Mayumi Morinaga,Sleepless days,188,2103373
kessoku band,Seishun Complex (TV Size),190,2132798
ASIAN KUNG-FU GENERATION,Re:Re:,155,426992
R3 Music Box,COOLEST,104,946318
Bitter Sweet Entertainment,Kanashimi no Mukougawa (Piano Version),148,435287
binaria,Kamiiro Awase,150,632884
Gakuen Seikatsu Bu,Friend Shitai,148,336822
TrySail,adrenaline!!! (TV Size),268,1450168
Halogen,U Got That (Camellia's Neurofunk Bootleg),174,934144
Scenarioart,Nana Hitsuji (TV Size),190,960100
Nico Nico Douga,Masukudo Kajan,150,17730
yanaginagi,Yukitoki (TV Size),164.5,1569480
Numtack05,Genkaku Catastrophe,174.5,2056364
ZUN,Lunatic Red Eyes ~ Invisible Full Moon,158.05,8830
"Chito (CV: Minase Inori), Yuuri (CV: Kubo Yurika)","Ugoku, Ugoku (TV Size)",128,706307
loz,Cinderella Cage -Trancecore Mix-,187,74274
LiSA,crossing field (TV Size),179,54416
S3RL,Candy (feat. Sara),175,829956
Sayuri,Sore wa Chiisana Hikari no Youna (TV Size),144,1123162
Pedro Silva,It Means Everything.,96,1488663
Sako Tomohisa,Getta Banban Anime Size ver.,167,337318
ClariS,SHIORI -TV size mix-,176,661919
