m,b,x,pp99,adj,v,s,l,d,p,h,appr_h,ar,accuracy,cs,drain
0,3197758,496.01,146.09,3140,Emiria's 4K Insane,1563407,144,4.08452,48656,30081,466598,5,7,4,8
0,2237405,492.53,122.01,3360,[4K] Asha's MX,1066763,87,3.72579,78633,55390,441202,5,8,4,8
0,2669828,491.78,162.68,2574,[4K] Great Pirate Voyage,1285818,298,4.32283,66050,47793,448884,5,8,4,8
256,5280625,491.03,531.3,215,[4K] farewell: to my memories,2425833,237,8.5893,30231,7474,489233,5,7.2,4,7.4
0,5319611,487.92,185.38,2516,[4K] bye bye,2439051,90,4.36674,29772,6123,490448,5,8.5,4,8.5
0,429550,487.19,197.69,2448,[4K] MX,176446,137,4.77312,253176,95547,401248,5,8,4,8
0,1101044,486.13,206.04,2399,[4K] LeiN-'s SC,518266,271,4.55447,89493,84115,412562,10,8,4,7
64,905576,485.31,338.21,685,[4K] Triumph,347650,319,4.20875,533678,89453,407236,5,8,4,8
0,1595158,484.9,114.13,4050,[4K] Madoka's Hyper,513701,179,3.69444,74439,69488,427595,5,8,4,8
0,5268054,476.36,655.33,102,[4K] REVERSE,1037578,352,8.1936,7928,1478,495203,5,7.2,4,8.2
0,1443373,474.15,43.57,6108,[4K] HD,682518,29,2.54182,173826,69244,427482,5,8,4,7.5
0,774837,469.26,267.24,1305,[4K] Extra,351320,119,5.14057,279164,95248,401516,10,8.5,4,8.3
0,2071816,466.88,71.51,5478,[4K] Hard,934974,209,3.01835,238149,59904,436773,5,7.5,4,8
0,770840,464.53,130.85,3619,[4K] Another Lv.11,349561,118,3.95368,195882,91979,407905,5,8,4,8
0,1427416,464.07,218.6,2035,4K Insane,650415,230,4.70422,118674,71115,425528,5,8.5,4,8.5
0,1237220,458.68,258.75,1462,[4K] Wonki's Extra,573280,181,4.99041,219996,74035,422642,5,8.5,4,8.5
0,5109965,455.79,207.71,2399,[4K] FAMoss' Lunatic // Extra Stage,2368620,123,4.57694,24954,9133,487482,5,8.5,4,8.5
0,4609675,455.34,302.51,998,[4K] V2,2181828,102,5.41643,52100,15633,482152,5.4,8.4,4,8.4
0,4374914,454.34,139.13,3279,[4K] (^O^) // insane,2087660,110,3.85847,77079,22273,474406,5,7.8,4,7.8
0,641639,452.79,198.39,2448,7K Another,283841,96,4.53836,62209,96363,400572,5,8.5,7,8.5
256,5273531,444.23,1011.77,5,[7K] Duo Concerto,2367508,586,10.3736,4395,5717,490818,9.5,6,7,8
0,1217803,444.05,285,1106,[4K] 11.186 km/s,575053,327,5.33019,195838,80785,415951,5,8.8,4,8.8
0,4138640,442.48,139.74,2972,[4K] E=mc^2,1991830,83,4.11659,7285,28348,468329,5,8.2,4,8.2
0,5178226,442.2,185.43,2516,[4K] Insane,2391949,112,4.36183,15941,7486,489191,5,8,4,8
0,4847701,441.49,142.84,2972,[4K] Insane Beam,2273820,195,3.95339,31174,13782,482909,5,8,4,8
0,3797369,440.71,709.61,75,[7K] Jinjin's Synthesis,1847997,132,7.78437,26467,32501,464199,5,9,7,9
0,3938190,439.34,149.13,3140,[4K] DiMENSiON / Fapu's Hyper,1908399,254,4.05724,95218,28428,468267,5,7.5,4,7.5
256,3797369,439.3,394.33,410,[7K] Jinjin's Synthesis,1847997,132,7.78437,26467,32501,464199,5,9,7,9
0,1001780,435.99,447.68,393,[4K] Eternal,468353,114,6.4097,189383,83974,412757,5,9,4,9
0,1716670,435.48,93.35,4707,[4K] Hard,818752,194,3.4359,100899,66304,430457,5,8,4,8
0,2977856,433.91,100.5,4729,[4K] Hyper,1440359,146,3.4059,61672,38615,457981,5,7.6,4,7.9
